	environment	phylum	abundance
1555	adenoma	Proteobacteria	0.75403924148727
1556	adenoma	Firmicutes	89.28116685190675
1557	adenoma	Bacteroidetes	6.743460074669608
1558	adenoma	Actinobacteria	2.0772186272038624
1559	control	Proteobacteria	1.7246903257224893
1560	control	Firmicutes	71.43170989307465
1561	control	Actinobacteria	16.709014185797514
1562	control	Bacteroidetes	6.860905338391586
1563	adenoma	Firmicutes	48.021981963682386
1564	adenoma	Proteobacteria	3.1501015787691156
1565	adenoma	Bacteroidetes	36.19154467642655
1566	adenoma	Actinobacteria	12.431342851737364
1567	adenoma	Firmicutes	69.76235283179084
1568	adenoma	Bacteroidetes	21.575948904454183
1569	adenoma	Proteobacteria	3.1258885213305208
1570	adenoma	Actinobacteria	4.7841255543407675
1571	cancer	Actinobacteria	4.288240358195686
1572	cancer	Firmicutes	57.55692400853047
1573	cancer	Bacteroidetes	24.55433533745223
1574	cancer	Proteobacteria	2.3357865182098774
1575	cancer	Proteobacteria	4.742683166766214
1576	cancer	Firmicutes	39.26579946901101
1577	cancer	Actinobacteria	1.1714680987612511
1578	cancer	Bacteroidetes	45.86334967661442
1579	adenoma	Proteobacteria	0.951310744587997
1580	adenoma	Firmicutes	75.74897255032104
1581	adenoma	Actinobacteria	2.371732582834652
1582	adenoma	Bacteroidetes	20.72439431733204
1583	cancer	Proteobacteria	9.355453927096722
1584	cancer	Firmicutes	77.20284844737363
1585	cancer	Actinobacteria	4.307165230959151
1586	cancer	Bacteroidetes	8.74375171680378
1587	control	Proteobacteria	4.919920937353138
1588	control	Firmicutes	66.33411161267414
1589	control	Actinobacteria	7.073699748763014
1590	control	Bacteroidetes	19.899751287422912
1591	cancer	Proteobacteria	3.7119990094530015
1592	cancer	Firmicutes	59.793185296746806
1593	cancer	Actinobacteria	1.0026459882571934
1594	cancer	Bacteroidetes	17.706145094994408
1595	cancer	Proteobacteria	2.1231339358105354
1596	cancer	Firmicutes	58.13115796963923
1597	cancer	Actinobacteria	1.9991981722672119
1598	cancer	Bacteroidetes	28.480813922198706
1599	control	Firmicutes	79.80368447242522
1600	control	Proteobacteria	1.6663498875386564
1601	control	Bacteroidetes	11.712345752404756
1602	control	Actinobacteria	4.878443105099109
1603	cancer	Proteobacteria	2.7026904660629505
1604	cancer	Firmicutes	37.66860807369509
1605	cancer	Bacteroidetes	59.45564801888384
1606	cancer	Actinobacteria	0.13378946377266143
1607	cancer	Proteobacteria	3.2361425276189957
1608	cancer	Actinobacteria	7.8095076046010865
1609	cancer	Firmicutes	67.05858274382565
1610	cancer	Bacteroidetes	21.040062662572197
1611	adenoma	Proteobacteria	2.262639990000601
1612	adenoma	Firmicutes	83.07236512735466
1613	adenoma	Bacteroidetes	11.293760851318744
1614	adenoma	Actinobacteria	1.9460321050033955
1615	control	Proteobacteria	1.8563510088274275
1616	control	Firmicutes	79.64389126512971
1617	control	Actinobacteria	9.752920766990398
1618	control	Bacteroidetes	8.478462787372942
1619	cancer	Proteobacteria	7.0463258239656215
1620	cancer	Firmicutes	59.37885294441292
1621	cancer	Bacteroidetes	27.176823606110457
1622	cancer	Actinobacteria	2.8445049449250144
1623	control	Proteobacteria	0.7615777287678839
1624	control	Firmicutes	74.52808050565373
1625	control	Actinobacteria	1.09811528893693
1626	control	Bacteroidetes	22.709711696074653
1627	control	Proteobacteria	1.9652108132409276
1628	control	Firmicutes	65.34174391236954
1629	control	Bacteroidetes	23.299203207005164
1630	control	Actinobacteria	6.443908303589213
1631	cancer	Proteobacteria	0.8268101686009185
1632	cancer	Firmicutes	59.73128507311889
1633	cancer	Bacteroidetes	15.145251402710977
1634	cancer	Actinobacteria	3.275765594569345
1635	cancer	Proteobacteria	7.9839832766189724
1636	cancer	Actinobacteria	8.142876556431975
1637	cancer	Firmicutes	68.40077673892246
1638	cancer	Bacteroidetes	13.752214612357458
1639	control	Proteobacteria	1.0024441847398382
1640	control	Firmicutes	73.33412442039466
1641	control	Actinobacteria	4.6308436963217705
1642	control	Bacteroidetes	20.121724979651713
1643	adenoma	Proteobacteria	0.4635668174081127
1644	adenoma	Firmicutes	49.80798435605246
1645	adenoma	Bacteroidetes	49.3653579150852
1646	adenoma	Actinobacteria	0.0985018301631723
1647	control	Proteobacteria	2.6105869983864207
1648	control	Firmicutes	76.21448607971674
1649	control	Bacteroidetes	15.932881188453091
1650	control	Actinobacteria	3.1832740967780624
1651	cancer	Proteobacteria	3.905962695494166
1652	cancer	Firmicutes	44.10532003296957
1653	cancer	Actinobacteria	3.590469641562483
1654	cancer	Bacteroidetes	34.97678655642287
1655	cancer	Proteobacteria	1.740855712627012
1656	cancer	Firmicutes	63.02075996502493
1657	cancer	Actinobacteria	3.4275269026180055
1658	cancer	Bacteroidetes	31.81085741973005
1659	cancer	Actinobacteria	8.63096858003492
1660	cancer	Firmicutes	77.64350266176821
1661	cancer	Bacteroidetes	12.346113716826506
1662	cancer	Proteobacteria	0.7609306046812667
1663	control	Proteobacteria	23.603872005754948
1664	control	Firmicutes	52.41802249328109
1665	control	Bacteroidetes	19.529990012205452
1666	control	Actinobacteria	3.302545763180304
1667	control	Proteobacteria	2.9152962336972763
1668	control	Firmicutes	78.9133715066539
1669	control	Actinobacteria	3.8574398616206733
1670	control	Bacteroidetes	12.623282282743043
1671	adenoma	Proteobacteria	2.227761512221936
1672	adenoma	Firmicutes	79.50902063549951
1673	adenoma	Bacteroidetes	16.852203050012722
1674	adenoma	Actinobacteria	1.0685324802670033
1675	cancer	Proteobacteria	3.8015574532729697
1676	cancer	Firmicutes	77.49581863855839
1677	cancer	Bacteroidetes	12.11691820124077
1678	cancer	Actinobacteria	1.9765237888985918
1679	adenoma	Proteobacteria	2.1589219601006997
1680	adenoma	Firmicutes	74.71574272965694
1681	adenoma	Bacteroidetes	18.609227231278723
1682	adenoma	Actinobacteria	4.113072714675795
1683	control	Proteobacteria	0.47725656552185036
1684	control	Firmicutes	81.55437598650208
1685	control	Actinobacteria	1.7241688962643176
1686	control	Bacteroidetes	15.999298561664673
1687	cancer	Proteobacteria	5.905733641412275
1688	cancer	Firmicutes	68.85822430791626
1689	cancer	Actinobacteria	2.6020693965035053
1690	cancer	Bacteroidetes	13.540700377326257
1691	adenoma	Proteobacteria	1.1740037600744329
1692	adenoma	Firmicutes	66.3799061515766
1693	adenoma	Bacteroidetes	30.52726189370055
1694	adenoma	Actinobacteria	0.3190705613822808
1695	control	Proteobacteria	1.6842686896209773
1696	control	Firmicutes	81.46953786880513
1697	control	Actinobacteria	6.22649163290362
1698	control	Bacteroidetes	10.19762390959253
1699	cancer	Proteobacteria	0.9155223871319941
1700	cancer	Firmicutes	89.00430043086216
1701	cancer	Bacteroidetes	5.167428192350281
1702	cancer	Actinobacteria	3.915702531954662
1703	adenoma	Proteobacteria	2.354410793133819
1704	adenoma	Firmicutes	65.5857134444909
1705	adenoma	Bacteroidetes	21.92786456770156
1706	adenoma	Actinobacteria	9.61936321265343
1707	control	Proteobacteria	0.835227088158554
1708	control	Firmicutes	86.23096561906361
1709	control	Actinobacteria	6.132787613231353
1710	control	Bacteroidetes	6.6873521511191845
1711	control	Proteobacteria	1.686551547218733
1712	control	Firmicutes	80.42436931130752
1713	control	Actinobacteria	3.7743457305249972
1714	control	Bacteroidetes	12.69558445932519
1715	control	Proteobacteria	1.4894993733629451
1716	control	Firmicutes	83.1300416254432
1717	control	Actinobacteria	3.134317227328719
1718	control	Bacteroidetes	11.278591287370702
1719	cancer	Bacteroidetes	20.85440247425575
1720	cancer	Firmicutes	61.94156573688756
1721	cancer	Actinobacteria	3.170183173832332
1722	cancer	Proteobacteria	1.0067297300721259
1723	adenoma	Proteobacteria	0.9856035795912882
1724	adenoma	Firmicutes	64.3868354172341
1725	adenoma	Actinobacteria	1.9652292166517538
1726	adenoma	Bacteroidetes	32.02458237746938
1727	cancer	Proteobacteria	5.041963783991714
1728	cancer	Firmicutes	65.0138323758839
1729	cancer	Actinobacteria	2.4651355299421094
1730	cancer	Bacteroidetes	22.98577647402732
1731	cancer	Proteobacteria	1.6515322539297914
1732	cancer	Firmicutes	73.98653765676077
1733	cancer	Bacteroidetes	21.135247158895616
1734	cancer	Actinobacteria	1.6805110818817088
1735	cancer	Proteobacteria	0.8295613155201607
1736	cancer	Firmicutes	77.31010971646327
1737	cancer	Bacteroidetes	10.451732153883714
1738	cancer	Actinobacteria	5.452861036966866
1739	cancer	Proteobacteria	1.9333778693110624
1740	cancer	Firmicutes	77.49349991599819
1741	cancer	Actinobacteria	2.508259847910817
1742	cancer	Bacteroidetes	15.659494090404241
1743	cancer	Proteobacteria	3.3563441782315557
1744	cancer	Firmicutes	59.662898952620935
1745	cancer	Actinobacteria	5.01697687945117
1746	cancer	Bacteroidetes	30.84766086007692
1747	adenoma	Proteobacteria	0.26509374665745705
1748	adenoma	Firmicutes	81.78632969023843
1749	adenoma	Bacteroidetes	10.892874227752577
1750	adenoma	Actinobacteria	6.1754635324449865
1751	cancer	Proteobacteria	3.221777085792768
1752	cancer	Firmicutes	57.11126124221898
1753	cancer	Actinobacteria	26.54475488371083
1754	cancer	Bacteroidetes	12.152699795341546
1755	control	Proteobacteria	2.3497037669763494
1756	control	Firmicutes	76.01577672535758
1757	control	Actinobacteria	3.091967646109725
1758	control	Bacteroidetes	16.812759525789765
1759	adenoma	Proteobacteria	1.0699620079321168
1760	adenoma	Firmicutes	79.23831647959709
1761	adenoma	Bacteroidetes	6.7778878882120255
1762	adenoma	Actinobacteria	4.513546092108459
1763	control	Proteobacteria	3.4257134605118034
1764	control	Firmicutes	64.57751141993148
1765	control	Actinobacteria	6.288944549716136
1766	control	Bacteroidetes	21.593872581716308
1767	cancer	Proteobacteria	2.6549497605061525
1768	cancer	Firmicutes	76.44757432265769
1769	cancer	Bacteroidetes	16.493119509044853
1770	cancer	Actinobacteria	2.6665500254029877
1771	cancer	Proteobacteria	1.3753280154398515
1772	cancer	Firmicutes	75.83789694010679
1773	cancer	Actinobacteria	5.021969414031069
1774	cancer	Bacteroidetes	15.515546912242998
1775	control	Proteobacteria	2.0325816169667767
1776	control	Firmicutes	67.73931067749062
1777	control	Actinobacteria	8.65510074041241
1778	control	Bacteroidetes	21.236867333135272
1779	control	Proteobacteria	1.7043646649505444
1780	control	Actinobacteria	6.058632149942528
1781	control	Firmicutes	76.41567358396514
1782	control	Bacteroidetes	12.41906768156784
1783	control	Firmicutes	77.12637061191518
